LEI,Bank,CountryCode,Country,FinancialYearEnd,SizeBand,SizeBandSort,InAllExercises,InConstantPanel,FirstPeriod,LastPeriod
529900XSTAE561178282,Raiffeisenbankengruppe OÖ Verbund eGen,AT,Austria,31 December,Under €50bn,4,Yes,Yes,202209,202506
5493000LKS7B3UTF7H35,Bank Polska Kasa Opieki S.A.,PL,Poland,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
5493001BABFV7P27OW30,"Nova Ljubljanska Banka d.d., Ljubljana",SI,Slovenia,31 December,Under €50bn,4,Yes,Yes,202209,202506
54930056IRBXK0Q1FP96,"Abanca Corporacion Bancaria, S.A.",ES,Spain,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
5493006QMFDDMYWIAM13,"Banco Santander, S.A.",ES,Spain,31 December,Over €500bn,1,Yes,Yes,202209,202506
5493007SJLLCTM6J6M37,"Unicaja Banco, S.A.",ES,Spain,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
5493008QOCP58OLEN998,Investeringsmaatschappij Argenta,BE,Belgium,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
5493009EIBTCB1X12G89,LGT Group Foundation,LI,Liechtenstein,31 December,€50bn to €150bn,3,Yes,No,202209,202506
549300C6TUMDXNOVXS82,Länsförsäkringar Bank AB - gruppen,SE,Sweden,31 December,Under €50bn,4,Yes,Yes,202209,202506
549300C9KPZR0VZ16R05,Morgan Stanley Europe Holding SE,DE,Germany,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
549300DYPOFMXOR7XM56,Crelan,BE,Belgium,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
549300FH0WJAPEHTIQ77,BofA Securities Europe SA,FR,France,31 December,Under €50bn,4,Yes,No,202303,202506
549300GKFG0RYRRQ1414,DNB BANK ASA,NO,Norway,31 December,€150bn to €500bn,2,Yes,No,202209,202506
549300HFEHJOXGE4ZE63,SFIL S.A.,FR,France,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
549300K7L8YW8M215U46,Citibank Holdings Ireland Limited,IE,Ireland,31 December,€50bn to €150bn,3,No,No,202209,202306
549300L7YCATGO57ZE10,FINECOBANK S.P.A.,IT,Italy,31 December,Under €50bn,4,Yes,Yes,202209,202506
549300NYKK9MWM7GGW15,ING Groep N.V.,NL,Netherlands,31 December,Over €500bn,1,Yes,Yes,202209,202506
549300OLBL49CW8CT155,"Ibercaja Banco, S.A.",ES,Spain,31 December,Under €50bn,4,Yes,Yes,202209,202506
549300PZMFIQR79Q0T97,Íslandsbanki hf.,IS,Iceland,31 December,Under €50bn,4,No,No,202209,202406
549300Q3OIWRHQUQM052,SpareBank 1 Sør-Norge,NO,Norway,31 December,Under €50bn,4,Yes,No,202209,202506
549300RG3H390KEL8896,Banca Transilvania,RO,Romania,31 December,Under €50bn,4,Yes,Yes,202209,202506
549300TK038P6EV4YU51,Akcinė bendrovė Šiaulių bankas,LT,Lithuania,31 December,Under €50bn,4,Yes,Yes,202209,202506
549300TLZPT6JELDWM92,Landsbankinn hf.,IS,Iceland,31 December,Under €50bn,4,No,No,202209,202406
549300TRUWO2CD2G5692,"UNICREDIT, SOCIETA' PER AZIONI",IT,Italy,31 December,Over €500bn,1,Yes,Yes,202209,202506
549300U4LIZV0REEQQ46,"Kutxabank, S.A.",ES,Spain,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
549300ZK53CNGEEI6A29,J.P. Morgan SE,DE,Germany,31 December,Under €50bn,4,Yes,Yes,202209,202506
5UMCZOEYKCVFAW8ZLO05,"National Bank of Greece, S.A.",GR,Greece,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
635400AKJBGNS5WNQL34,AIB Group plc,IE,Ireland,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
635400C8EK6DRI12LJ39,Bank of Ireland Group plc,IE,Ireland,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
635400L14KNHZXPUZM19,Bank of Cyprus Holdings Public Limited Company,CY,Cyprus,31 December,Under €50bn,4,Yes,Yes,202209,202506
6TJCK1B7E7UTXP528Y04,Citigroup Global Markets Europe AG,DE,Germany,31 December,Under €50bn,4,Yes,No,202212,202506
724500A1FNICHSDF2I11,de Volksbank N.V.,NL,Netherlands,31 December,€50bn to €150bn,3,Yes,No,202212,202506
724500JIWG886A9RRT57,RBS Holdings N.V.,NL,Netherlands,31 December,Under €50bn,4,No,No,202403,202506
7437003B5WFBOIEFY714,OP Osuuskunta,FI,Finland,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
7CUNS533WID6K7DGFI87,"CaixaBank, S.A.",ES,Spain,31 December,Over €500bn,1,Yes,Yes,202209,202506
7LTWFZYICNSX8D621K86,DEUTSCHE BANK AKTIENGESELLSCHAFT,DE,Germany,31 December,Over €500bn,1,Yes,Yes,202209,202506
7LVZJ6XRIE7VNZ4UBX81,BANCA MEDIOLANUM S.P.A.,IT,Italy,31 December,Under €50bn,4,Yes,Yes,202209,202506
7V6Z97IO7R1SEAO84Q32,SpareBank 1 SMN,NO,Norway,31 December,Under €50bn,4,Yes,No,202209,202506
815600AD83B2B6317788,CREDITO EMILIANO HOLDING SOCIETA' PER AZIONI,IT,Italy,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
815600E4E6DCD2D25E30,BANCO BPM SOCIETA' PER AZIONI,IT,Italy,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
851WYGNLUQLFZBSYGB56,COMMERZBANK Aktiengesellschaft,DE,Germany,31 December,Over €500bn,1,Yes,Yes,202209,202506
8IBZUGJ7JPLH368JE346,Goldman Sachs Bank Europe SE,DE,Germany,31 December,Under €50bn,4,Yes,Yes,202209,202506
95980020140005881190,Banco de Crédito Social Cooperativo,ES,Spain,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
96950001WI712W7PQG45,RCI Banque,FR,France,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
9695000CG7B84NLR5984,Confédération Nationale du Crédit Mutuel,FR,France,31 December,Over €500bn,1,Yes,Yes,202209,202506
96950066U5XAAIRCPA78,La Banque Postale,FR,France,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
969500STN7T9MRUMJ267,Bpifrance,FR,France,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
9CZ7TVMR36CYD5TZBS50,Banque Internationale à Luxembourg,LU,Luxembourg,31 December,Under €50bn,4,Yes,Yes,202209,202506
9ZHRYM6F437SQJ6OUG95,Raiffeisen Bank International AG,AT,Austria,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
A5GWLFH3KM7YV2SFQL84,Belfius Bank,BE,Belgium,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
AT0000000000043000VB,VOLKSBANK WIEN AG VB,AT,Austria,31 December,Under €50bn,4,Yes,Yes,202209,202506
B81CK4ESI35472RHJ606,Landesbank Baden-Württemberg,DE,Germany,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
BFXS5XCH7N0Y05NIXW11,ABN AMRO Bank N.V.,NL,Netherlands,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
CXUHEGU3MADZ2CEV7C11,Hellenic Bank Public Company Ltd,CY,Cyprus,31 December,Under €50bn,4,No,No,202209,202306
DG3RU1DBUFHT4ZF9WN62,Coöperatieve Rabobank U.A.2,NL,Netherlands,31 December,Over €500bn,1,Yes,No,202212,202506
DIZES5CFO5K3I5R58746,Landesbank Hessen-Thüringen Girozentrale,DE,Germany,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
DSNHHQ2B9X5N6OUJ1236,Norddeutsche Landesbank - Girozentrale -,DE,Germany,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
DZZ47B9A52ZJ6LT6VV95,Deutsche Pfandbriefbank AG,DE,Germany,31 December,Under €50bn,4,Yes,Yes,202209,202506
EQYXK86SF381Q21S3020,Bank of America Europe Designated Activity Company,IE,Ireland,31 December,Under €50bn,4,Yes,Yes,202209,202506
EV2XZWMLLXF2QRX0CD47,Kommuninvest - Grupp,SE,Sweden,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
F0HUI1NY1AZMJMD8LP67,HSBC Continental Europe,FR,France,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
F3JS33DEI6XQ4ZBPTN86,Skandinaviska Enskilda Banken - gruppen,SE,Sweden,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
FR9695005MSX1OYEMGDF,Groupe BPCE,FR,France,31 December,Over €500bn,1,Yes,Yes,202209,202506
FR969500TJ5KRTCJQWXH,Groupe Crédit Agricole,FR,France,31 December,Over €500bn,1,Yes,Yes,202209,202506
H0YX5LBGKDVOWCXBZ594,SBAB Bank AB - Grupp,SE,Sweden,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
J48C8PCSJVUBR8KCW529,BANCA POPOLARE DI SONDRIO SOCIETA' PER AZIONI,IT,Italy,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
J4CP7MHCXR8DAQMKIL78,Banca Monte dei Paschi di Siena S.p.A.,IT,Italy,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
JEUVK5RWVJEN8W0C9M24,Eurobank Ergasias Services and Holdings S.A.,GR,Greece,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
JLP5FSPH9WPSHY3NIM24,Nederlandse Waterschapsbank N.V.,NL,Netherlands,31 December,Under €50bn,4,Yes,No,202212,202506
JU1U6S0DG9YLT7N8ZV32,"Banco Comercial Português, SA",PT,Portugal,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
K8MS7FD7N5Z2WQ51AZ71,"Banco Bilbao Vizcaya Argentaria, S.A.",ES,Spain,31 December,Over €500bn,1,Yes,Yes,202209,202506
KHCL65TP05J1HUW2D560,Quintet Private Bank (Europe) S.A,LU,Luxembourg,31 December,Under €50bn,4,No,No,202209,202306
LIU16F6VZJSD6UKHD557,Nykredit Realkredit A/S,DK,Denmark,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
LOO0AWXR8GF142JCO404,CASSA CENTRALE BANCA,IT,Italy,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
M312WZV08Y7LYUC71685,Swedbank - Grupp,SE,Sweden,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
M6AD1Y1KW32H8THQ6F76,Piraeus Financial Holdings,GR,Greece,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
MAES062Z21O4RZ2U7M96,Danske Bank A/S,DK,Denmark,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
MMYX0N4ZEZ13Z4XCG897,THE BANK OF NEW YORK MELLON,BE,Belgium,31 December,Under €50bn,4,Yes,Yes,202209,202506
N1FBEDJ5J41VKZLO2475,Citibank Europe plc,IE,Ireland,31 December,€150bn to €500bn,2,No,No,202309,202506
N747OI7JINV7RUUH6190,BPER Banca S.p.A.,IT,Italy,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
NHBDILHZTYCNBV5UYZ31,Svenska Handelsbanken - gruppen,SE,Sweden,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
NNVPP80YIZGEY2314M97,ICCREA BANCA S.P.A.,IT,Italy,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
O2RNE8IBXP4R0TD8PU41,Société générale S.A.,FR,France,31 December,Over €500bn,1,Yes,Yes,202209,202506
P4GTT6GF1W40CVIMFR43,Powszechna Kasa Oszczednosci Bank Polski S.A.,PL,Poland,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
PQOH26KWDF7CG10L6792,Erste Group Bank AG,AT,Austria,31 December,€150bn to €500bn,2,No,No,202209,202406
PSNL19R2RXX5U3QWHI44,Mediobanca - Banca di Credito Finanziario S.p.A.,IT,Italy,30 June,€50bn to €150bn,3,Yes,Yes,202209,202506
R0MUWSFPU8MPRO8K5P83,BNP Paribas,FR,France,31 December,Over €500bn,1,Yes,Yes,202209,202506
R7CQUF1DQM73HUTV1078,"Banque et Caisse d´Epargne de l´Etat, Luxembourg",LU,Luxembourg,31 December,Under €50bn,4,Yes,Yes,202209,202506
RIL4VBPDB0M7Z3KXSF19,Arion banki hf,IS,Iceland,31 December,Under €50bn,4,No,No,202209,202406
SI5RG2M0WQQLZCXKRM20,"Banco de Sabadell, S.A.",ES,Spain,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
TO822O0VT80V06K0FH57,"Caixa Geral de Depósitos, S.A.",PT,Portugal,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
TUKDD90GPC79G1KOE162,Hamburg Commercial Bank AG,DE,Germany,31 December,Under €50bn,4,Yes,Yes,202209,202506
VDYMYTQGZZ6DU0912C88,Bayerische Landesbank,DE,Germany,31 December,€150bn to €500bn,2,Yes,Yes,202209,202506
VWMYAEQSTOPNV0SUGU82,"Bankinter, S.A.",ES,Spain,31 December,€50bn to €150bn,3,Yes,Yes,202209,202506
